type,section,longitude,latitude

commuter,a1,39.25617328385693, -76.71660264395585
commuter,a1,39.25609221836049, -76.71662791439839
commuter,a1,39.25584622593545, -76.71668206534666
commuter,a1,39.25565054952647, -76.71669289553633
commuter,a1,39.255435304845825, -76.71667123515701
commuter,a1,39.25528994442795, -76.71662791439839
commuter,a1,39.255150174511165, -76.71657015338688
commuter,a1,39.25495715192193, -76.71645259278247
commuter,a1,39.254692472098995, -76.71626060262919
commuter,a1,39.25302489939514, -76.71499670217428

commuter,a2,39.25154410314345, -76.7135085177151
commuter,a2,39.25142912072681, -76.71316064109024
commuter,a2,39.25133713465496, -76.71269397733872
commuter,a2,39.25126814502398, -76.7121042840356
commuter,a2,39.25128785635865, -76.71165458988531
commuter,a2,39.251343705097085, -76.71122186530317
commuter,a2,39.251429120728645, -76.71092489745268

commuter,a3,39.25148030259864, -76.71074856579268
commuter,a3,39.25162853276505, -76.71026011347698
commuter,a3,39.25198009259072, -76.70931902369273
commuter,a3,39.252342636822334, -76.70852926495473

commuter,a4,39.2524781326802, -76.70837793396376
commuter,a4,39.253573075988854, -76.70691191471106

commuter,a5,39.253739403245405, -76.70674650276652
commuter,a5,39.254514284640166, -76.70603500294051

commuter,a6,39.25458892872449, -76.70625533835914
commuter,a6,39.25417644438692, -76.70657185365863
commuter,a6,39.253918477471125, -76.70683154612651
commuter,a6,39.252617987939715, -76.7085681755141

commuter,a7,39.25161669254016, -76.71087123949017
commuter,a7,39.25180427750124, -76.71029140307975
commuter,a7,39.25211099863567, -76.70951549944682
commuter,a7,39.25238200454275, -76.70892950228577
commuter,a7,39.25253326320285, -76.70869347566303

commuter,a8,39.252579481060266, -76.7087314569605
commuter,a8,39.253239132614254, -76.70923606562697

commuter,a9,39.25335677683694, -76.709336444766
commuter,a9,39.2536046693498, -76.70951278650428
commuter,a9,39.253968103398755, -76.70974338723894

commuter,a10,39.25259208593161, -76.70864464257446
commuter,a10,39.25356895607053, -76.70939884262432

commuter,a11,39.25423323708381, -76.70520520664004
commuter,a11,39.25392516345028, -76.70466144128518

commuter,a12,39.25387078182396, -76.70457266150545
commuter,a12,39.25256522984252, -76.70245577590613

commuter,a13,39.256281973781476, -76.71655089066755
commuter,a13,39.25690628609522, -76.71835693976091

commuter,a14,39.25692832055303, -76.71842713282189
commuter,a14,39.257222112563475, -76.71924858163231

commuter,a15,39.25650343498364, -76.71635175174006
commuter,a15,39.25758501898304, -76.71532866369398

commuter,a16,39.25768995163921, -76.71522768954696
commuter,a16,39.258126140625066, -76.71482113576832

commuter,a17,39.25646385892578, -76.71615856437438
commuter,a17,39.257869606955325, -76.71481417500557
commuter,a17,39.25833383798858, -76.71437795223153
commuter,a17,39.25863332760323, -76.71408634719437

commuter,a18,39.25564608041372, -76.71441164280299
commuter,a18,39.255691090737315, -76.7144184369952
commuter,a18,39.2557291005476, -76.71440076163637
commuter,a18,39.255808023204374, -76.71432029536385
commuter,a18,39.255843849910114, -76.7142465346179
commuter,a18,39.255845407592446, -76.71421703031797
commuter,a18,39.255843849910114, -76.71415936282266
commuter,a18,39.25583138845028, -76.71411510637276

commuter,a19,39.25909253834481, -76.71339340842519
commuter,a19,39.259178551222526, -76.71323239630522
commuter,a19,39.259295489909476, -76.71297277986375
commuter,a19,39.25940469694585, -76.71269444110102
commuter,a19,39.25947621296009, -76.71246852487072
commuter,a19,39.25958445327885, -76.71198174405417
commuter,a19,39.25963470765548, -76.71152117451348
commuter,a19,39.25965017053454, -76.71113674248535
commuter,a19,39.259631808366585, -76.7106923989702
commuter,a19,39.25960764761187, -76.71047147537425
commuter,a19,39.259533232437036, -76.71006457653814
commuter,a19,39.259435622803146, -76.7096639184722
commuter,a19,39.25939986478245, -76.70954159919937
commuter,a19,39.25930418783193, -76.70926950119821
commuter,a19,39.25902875345328, -76.7086965976266
commuter,a19,39.258751385106144, -76.70828345801556
commuter,a19,39.258750418663986, -76.70828096170362
